BillNum,ShortTitle,HouseSponsor,HouseAddSponsor,HouseCoSponsor,SenateSponsor,SenateAddSponsor,Textbox16
HB22-1011,Wildfire Mitigation Incentives For Local Gov,"Cutter, Snyder",,"Amabile, Bernett, Bird, Boesenecker, Esgar, Exum, Froelich, Gonzales-Gutierrez, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, Lynch, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ricks, Roberts, Titone, Valdez A., Valdez D., Woodrow, Daugherty, Weissman","Story, Lee",Ginal,"Bridges, Buckner, Donovan, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Pettersen, Rodriguez, Simpson, Winter, Fenberg"
HB22-1012,Wildfire Mitigation And Recovery,"Cutter, Valdez D.","Lynch, Snyder","Amabile, Bacon, Bernett, Bird, Boesenecker, Caraveo, Duran, Esgar, Exum, Froelich, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Ortiz, Ricks, Roberts, Titone, Valdez A., Gonzales-Gutierrez, Weissman","Ginal, Lee",Story,"Buckner, Hansen, Jaquez Lewis, Pettersen, Rankin, Simpson, Winter, Fenberg"
HB22-1013,Microgrids For Community Resilience Grant Program,"Pelton, Snyder",,"Amabile, Bernett, Bird, Boesenecker, Carver, Catlin, Cutter, Exum, Herod, Hooton, Kennedy, Kipp, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Ortiz, Pico, Ricks, Roberts, Titone, Valdez A., Valdez D., Woodrow, Young","Hisey, Winter",,"Buckner, Ginal, Gonzales, Hansen, Jaquez Lewis, Lee, Pettersen, Rankin, Story, Fenberg"
HB22-1014,Epilepsy Awareness Special License Plate,Jodeh,,"Cutter, Duran, Hooton, Kipp, Lindsay, Michaelson Jenet, Mullica, Ortiz, Roberts, Valdez A., Young, Bird, Exum, Sullivan, Garnett",Pettersen,,"Buckner, Fields"
HB22-1015,Off-label Use Of Approved Drugs To Treat COVID-19,Luck,"Geitner, Pico, Ransom, Rich, Williams",,"Hisey, Sonnenberg",Woodward,
HB22-1016,Voluntary Contribution Check-off Feeding Colorado ,"Carver, McLachlan",,"Bernett, Bird, Boesenecker, Caraveo, Catlin, Cutter, Esgar, Exum, Froelich, Gray, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, McKean, Michaelson Jenet, Pico, Rich, Ricks, Roberts, Sirota, Snyder, Titone, Valdez A., Valdez D., Van Beber, Weissman, Young","Hisey, Fields",,"Buckner, Ginal, Gonzales, Hansen, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Priola, Rankin, Story, Winter, Woodward, Zenzinger, Fenberg"
HB22-1017,Increase Alcohol Beverage Excise Tax Exemption,"Bird, Woog",Benavidez,"Bockenfeld, Gray, Snyder","Kolker, Liston",,"Cooke, Coram, Gardner, Holbert, Scott, Smallwood, Sonnenberg"
HB22-1018,Electric & Gas Utility Customer Protections,Kennedy,,"Bernett, Bird, Boesenecker, Cutter, Duran, Esgar, Froelich, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kipp, Lindsay, Michaelson Jenet, Ricks, Sirota, Titone, Valdez A., Weissman","Winter, Hinrichsen",,"Bridges, Buckner, Danielson, Gonzales, Jaquez Lewis, Lee, Moreno, Pettersen, Story, Zenzinger"
HB22-1019,Modifications To Qualified State Tuition Programs,Larson,,,,,
HB22-1020,Customer Right To Use Energy,Woog,,,Kirkmeyer,,
HB22-1021,Reduce State Income Tax Rate,Ransom,,,Sonnenberg,,
HB22-1022,Modify Administration Of Colorado State Fair,"Roberts, Esgar",Michaelson Jenet,"Bacon, Gonzales-Gutierrez, Jodeh, McLachlan, Snyder, Valdez D., Garnett","Woodward, Hinrichsen","Rodriguez, Smallwood","Bridges, Hisey, Priola, Simpson, Sonnenberg"
HB22-1023,Farm Close-out Exemption Exclude Motor Vehicles,Benavidez,,,Kolker,,
HB22-1024,Sales & Use Tax Exemption Mun Pub Sch Constr,"Bird, Woog",,"Duran, Gray, Jodeh, Kipp, McCluskie, Mullica, Van Winkle","Hansen, Kolker",,Moreno
HB22-1025,Repeal Of Infrequently Used Tax Expenditures,Benavidez,,"Gonzales-Gutierrez, Gray, Kennedy, Sirota, Titone",Kolker,Hansen,"Buckner, Gonzales, Lee, Moreno, Rodriguez"
HB22-1026,Alternative Transportation Options Tax Credit,"Bird, Woog",Benavidez,"Boesenecker, Duran, Kipp, Lindsay, McCluskie, Mullica, Snyder, Valdez A., Hooton, Michaelson Jenet, Ortiz","Hansen, Liston",Kolker,"Ginal, Hinrichsen, Lee, Pettersen"
HB22-1027,Sales Tax Destination Sourcing Rules Exception,"Van Winkle, Kipp",,"Bacon, Baisley, Bernett, Bird, Boesenecker, Bradfield, Caraveo, Carver, Catlin, Cutter, Daugherty, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Lindsay, Lontine, Luck, Lynch, McCluskie, McCormick, McKean, McLachlan, Michaelson Jenet, Mullica, Ortiz","Bridges, Woodward",,"Cooke, Coram, Fenberg, Fields, Gardner, Ginal, Hisey, Holbert, Kirkmeyer, Kolker, Liston, Lundeen, Pettersen, Priola, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Winter, Zenzinger, Garcia"
HB22-1028,Statewide Regulation Of Controlled Intersections,"Gray, Hooton","Boesenecker, Exum, Froelich, Sullivan","Amabile, Bernett, Cutter, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCluskie, Titone, Valdez A., Van Winkle, Ricks, Sirota, Snyder, Soper","Winter, Priola",,"Buckner, Gonzales, Lee, Moreno, Story, Fenberg"
HB22-1029,Compensatory Direct Distribution To PERA,"Bird, Sandridge","Exum, Sirota","Amabile, Bacon, Bernett, Boesenecker, Caraveo, Cutter, Daugherty, Esgar, Gonzales-Gutierrez, Gray, Herod, Holtorf, Jodeh, Kennedy, Kipp, Larson, Lindsay, Lontine, Lynch, McCluskie, McCormick, McKean, McLachlan, Michaelson Jenet, Mullica, Ortiz, Ricks, Roberts, Snyder, Tipper, Titone","Kolker, Priola",,"Buckner, Cooke, Coram, Donovan, Fields, Gardner, Ginal, Gonzales, Hansen, Hinrichsen, Holbert, Jaquez Lewis, Kirkmeyer, Lee, Liston, Lundeen, Moreno, Pettersen, Rankin, Rodriguez, Scott, Simpson, Smallwood, Sonnenberg, Story, Winter, Woodward, Zenzinger, Fenberg"
HB22-1030,Income Tax Credit For Package Anti-theft Devices,Valdez A.,,,,,
HB22-1031,Consumer Right To Repair Powered Wheelchairs,"Titone, Ortiz","Boesenecker, Kipp, Woodrow","Bacon, Bernett, Bird, Caraveo, Cutter, Esgar, Exum, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kennedy, Lindsay, McCluskie, Michaelson Jenet, Ricks, Roberts, Sirota, Snyder, Valdez A., Valdez D., Weissman, Garnett, Froelich, Amabile, Lontine, McCormick, McLachlan, Mullica","Zenzinger, Cooke",,"Bridges, Buckner, Danielson, Donovan, Fields, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Kolker, Lee, Moreno, Pettersen, Rankin, Rodriguez, Story, Winter"
HB22-1032,Jury Postponement For Out-of-state Students,"Bockenfeld, Daugherty",,"Bird, Boesenecker, Duran, Exum, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, Michaelson Jenet, Snyder, Titone, Woodrow","Kirkmeyer, Bridges",,"Cooke, Hisey, Lee, Moreno, Woodward"
HB22-1033,Constitutional Carry Of A Handgun,Hanks,,,,,
HB22-1034,FPPA Statewide Retirement Plan,"Bird, Sandridge","Exum, Sirota, Van Winkle","Bernett, Boesenecker, Duran, Esgar, Froelich, Gonzales-Gutierrez, Gray, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, Mullica, Snyder, Sullivan, Titone, Valdez D., Will, Young","Bridges, Priola",Kolker,"Buckner, Coleman, Cooke, Gardner, Ginal, Gonzales, Hansen, Hinrichsen, Hisey, Holbert, Jaquez Lewis, Kirkmeyer, Lee, Liston, Lundeen, Rankin, Scott, Smallwood, Sonnenberg, Story, Winter, Woodward, Zenzinger, Fenberg"
HB22-1035,Modernization Of The Older Coloradans Act,"Young, Bradfield",,"Amabile, Bacon, Benavidez, Bernett, Boesenecker, Caraveo, Catlin, Cutter, Esgar, Exum, Froelich, Gonzales-Gutierrez, Herod, Jodeh, Kennedy, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Mullica, Roberts, Snyder, Titone, Valdez A., Valdez D., Bird, Gray, Hooton, McKean, Pelton","Ginal, Rankin",,"Buckner, Coram, Gonzales, Jaquez Lewis, Kolker, Lee, Pettersen, Priola, Smallwood, Story, Winter, Woodward, Zenzinger"
HB22-1036,Improvement Location Certificate Real Estate Forms,"Snyder, Soper",,"Bird, Lontine, Rich",Lee,,
HB22-1037,Retail & Medical Marijuana Same Location,"Hooton, Van Winkle",,"Boesenecker, Esgar, Gonzales-Gutierrez, Gray, Jodeh, Lindsay, Titone, Valdez A.","Holbert, Jaquez Lewis",,"Gonzales, Moreno"
HB22-1038,Right To Counsel For Youth,"Daugherty, Van Beber",,"Amabile, Bacon, Benavidez, Bernett, Bird, Boesenecker, Carver, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Lindsay, Lontine, Lynch, McCluskie, McCormick, Michaelson Jenet, Ortiz, Pelton, Pico, Rich, Ricks, Sandridge, Sirota, Snyder, Soper, Tito","Moreno, Gardner",,"Buckner, Ginal, Gonzales, Jaquez Lewis, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Pettersen, Priola, Smallwood, Woodward, Zenzinger, Fenberg"
HB22-1039,Sales & Use Tax Exemption Form Simplification,"Kipp, Van Winkle",,"Baisley, Bird, Bockenfeld, Boesenecker, Duran, Geitner, Gray, Hooton, Lynch, McCluskie, McCormick, McKean, McLachlan, Michaelson Jenet, Mullica, Pico, Ricks, Sandridge, Sirota, Snyder, Weissman, Will, Williams, Woodrow","Bridges, Woodward",,"Buckner, Cooke, Gardner, Hinrichsen, Hisey, Holbert, Kirkmeyer, Kolker, Lee, Liston, Lundeen, Priola, Rankin, Scott, Simpson, Smallwood, Sonnenberg, Fenberg"
HB22-1040,Home Owners Reasonable Access To Common Areas,"Rich, Hooton",,"Jodeh, Kipp, Lontine, Sirota, Titone, Weissman","Story, Holbert",,"Buckner, Ginal, Gonzales, Hinrichsen, Jaquez Lewis, Priola"
HB22-1041,Privacy Protections For Protected Persons,"Boesenecker, Larson",,"Amabile, Bacon, Bernett, Bird, Caraveo, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Jodeh, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Mullica, Ortiz, Sirota, Snyder, Soper, Titone, Valdez A., Weissman, Young, Hooton, Kennedy, Ricks",Ginal,,"Bridges, Buckner, Fields, Hinrichsen, Kolker, Lee, Moreno, Story, Winter"
HB22-1042,Teen Parent Driving Instruction Course,"Exum, Van Winkle",,"Bacon, Bernett, Bird, Boesenecker, Duran, Esgar, Froelich, Gonzales-Gutierrez, Herod, Hooton, Jodeh, Lindsay, Lontine, McCormick, Michaelson Jenet, Mullica, Titone, Valdez A., Valdez D., Weissman, Williams, Woodrow, Carver, Kipp, Ortiz, Snyder","Buckner, Hisey",,"Coleman, Donovan, Fields, Ginal, Hansen, Jaquez Lewis, Kolker, Lee, Moreno, Story, Winter, Fenberg"
HB22-1043,Motorcycle & Autocycle Definitions,Pico,,"Gray, Titone, Valdez D.","Hisey, Ginal",,"Bridges, Cooke, Gardner, Holbert, Liston, Simpson, Smallwood"
HB22-1044,Vacancy Committee Selection,"Williams, Kennedy",,"Boesenecker, Duran, Gray, Jodeh, Kipp, Lontine, Neville, Tipper",Bridges,,
HB22-1045,Statutory Initiative Petition Signature Reqmnts,Holtorf,,,Sonnenberg,,
HB22-1046,Local Designation Of Over-snow Use Only Highways,"McLachlan, Catlin",,"Duran, Exum, Gray, Jodeh, Lontine, Lynch, McCluskie, Pico, Rich, Titone, Bird, Lindsay, Valdez D., Will","Winter, Woodward",,"Bridges, Pettersen"
HB22-1047,Protecting Human Life At Conception,Neville,"Luck, Ransom, Sandridge, Van Winkle, Williams",,,,
HB22-1048,In God We Trust Special License Plate,Baisley,"Holtorf, Pico, Rich, Van Beber","Bird, Bockenfeld, Carver, Hanks, Lindsay, Neville, Soper, Van Winkle, Will, Williams",Kirkmeyer,"Hisey, Priola, Woodward",
HB22-1049,Prohibiting Transcript & Diploma Withholding,"Bacon, Ricks",,"Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Esgar, Exum, Gonzales-Gutierrez, Gray, Herod, Jodeh, Kennedy, Kipp, Lindsay, Lontine, McCluskie, Michaelson Jenet, Ortiz, Sirota, Snyder, Sullivan, Weissman, Garnett, Froelich, Amabile, Woodrow","Pettersen, Bridges",,"Buckner, Coleman, Danielson, Fields, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Lee, Moreno, Story, Winter, Fenberg"
HB22-1050,Intl Med Graduate Integrate Hlth-care Workforce ,Ricks,,"Bacon, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Exum, Gonzales-Gutierrez, Hooton, Jodeh, Kipp, Lindsay, Lontine, Michaelson Jenet, Sirota, Titone",Buckner,,"Ginal, Gonzales, Hinrichsen, Jaquez Lewis, Kolker, Lee, Pettersen, Winter, Fenberg"
HB22-1051,Mod Affordable Housing Tax Credit,"Bird, McKean",,"Bacon, Bernett, Boesenecker, Exum, Herod, Kipp, Lindsay, Lontine, McCluskie, Michaelson Jenet, Ricks, Roberts, Snyder, Titone, Valdez D., Garnett","Zenzinger, Hisey",,"Bridges, Buckner, Coleman, Cooke, Danielson, Donovan, Fields, Gonzales, Hansen, Hinrichsen, Holbert, Jaquez Lewis, Kolker, Lee, Liston, Moreno, Pettersen, Rodriguez, Scott, Simpson, Story, Winter, Woodward, Fenberg"
HB22-1052,Promoting Crisis Services To Students,"McLachlan, McKean",,"Amabile, Bacon, Benavidez, Bernett, Bird, Boesenecker, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McCormick, Michaelson Jenet, Mullica, Sirota, Titone, Valdez A., Valdez D., Woodrow, Carver, Ortiz, Pelton, Ricks","Priola, Moreno",Fenberg,"Bridges, Buckner, Donovan, Ginal, Gonzales, Hansen, Hinrichsen, Jaquez Lewis, Kolker, Lee, Pettersen, Rodriguez, Smallwood, Sonnenberg, Story, Woodward, Zenzinger"
HB22-1053,Blockchain Agriculture & Uniform Commercial Code,"Valdez D., Van Beber",,"Duran, Esgar, Hooton, Mullica, Ricks, Snyder, Titone, Valdez A., Young",Hansen,,"Bridges, Ginal, Hinrichsen, Lee, Pettersen, Rankin, Simpson, Woodward"
HB22-1054,Fund Indian Economic Condition Improvement,"Benavidez, Bacon",,"Amabile, Bernett, Bird, Boesenecker, Caraveo, Cutter, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Kennedy, Lindsay, Lontine, McCluskie, McLachlan, Ricks, Titone, Valdez A., Valdez D., Weissman, Woodrow",Coleman,,
HB22-1055,Sales Tax Exemption Essential Hygiene Products,"Lontine, Herod","Bacon, Bernett, Cutter, Duran, Esgar, Froelich, Hooton, Jodeh, Kipp, McLachlan, Michaelson Jenet, Sirota, Titone, Young","Amabile, Bird, Boesenecker, Caraveo, Daugherty, Exum, Gonzales-Gutierrez, Gray, Kennedy, Lindsay, McCormick, Mullica, Ricks, Roberts, Sullivan, Tipper, Valdez A., Valdez D., Weissman, Woodrow, Garnett","Jaquez Lewis, Winter","Buckner, Gonzales, Story","Bridges, Coleman, Danielson, Donovan, Fields, Hansen, Hinrichsen, Kolker, Lee, Moreno, Pettersen, Priola, Rodriguez, Fenberg"
HB22-1056,Emergency Temporary Care For Children,"Michaelson Jenet, Gonzales-Gutierrez",,"Amabile, Bacon, Benavidez, Bernett, Bird, Boesenecker, Caraveo, Cutter, Duran, Esgar, Exum, Froelich, Herod, Hooton, Jodeh, Lontine, McCluskie, McCormick, Mullica, Sirota, Sullivan, Titone, Valdez A., Woodrow, Young",Moreno,,"Bridges, Buckner, Danielson, Donovan, Fields, Ginal, Hansen, Jaquez Lewis, Lee, Pettersen, Rodriguez, Story, Winter, Zenzinger"
HB22-1057,PERA Employment After Teacher Retirement,"Bradfield, McLachlan",,"Amabile, Bacon, Bernett, Bird, Carver, Cutter, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Jodeh, Kipp, Lindsay, McCluskie, McCormick, McKean, Michaelson Jenet, Ortiz, Pico, Ricks, Sandridge, Snyder, Titone, Valdez A., Valdez D., Van Beber, Van Winkle, Will, Williams, Young","Woodward, Zenzinger",,"Buckner, Fields, Ginal, Hinrichsen, Hisey, Kolker, Lundeen, Moreno, Pettersen, Scott, Sonnenberg, Fenberg"
HB22-1058,Professional Sporting Events Contract Disputes,"Mullica, Garnett",,,,,
HB22-1059,Two-thirds Voting Reqmnt For Bills With Fees,Soper,,,Sonnenberg,,
HB22-1060,Contribution Limits School Dist Dir Candidate,Sirota,Kipp,"Amabile, Bacon, Benavidez, Bernett, Bird, Boesenecker, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Herod, Hooton, Jodeh, Lindsay, Lontine, McCluskie, McCormick, Michaelson Jenet, Mullica, Ortiz, Snyder, Sullivan, Tipper, Titone, Valdez A., Weissman, Woodrow",Gonzales,,"Buckner, Hinrichsen, Jaquez Lewis, Moreno, Story, Winter"
HB22-1061,Modifications To Not Guilty By Reason Of Insanity,"Amabile, Benavidez",,"Bacon, Bernett, Cutter, Exum, Gonzales-Gutierrez, Hooton, Jodeh, Kennedy, Lindsay, McCluskie, Michaelson Jenet, Ricks, Sirota",Gonzales,,"Buckner, Lee"
HB22-1062,Expand Sales & Use Tax Exemption For Food,McKean,,,Hisey,Woodward,
HB22-1063,Jail Standards Commission,"Amabile, Benavidez",,"Bacon, Bernett, Boesenecker, Cutter, Esgar, Exum, Gonzales-Gutierrez, Herod, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCormick, Ricks, Titone, Van Winkle, Weissman","Coleman, Cooke",,"Bridges, Buckner, Ginal, Gonzales, Hansen, Jaquez Lewis, Lee, Moreno"
HB22-1064,Prohibit Flavored Tobacco Regul Synthetic Nicotine,"Mullica, Bacon",,"Amabile, Bernett, Jodeh, Kipp, Lindsay","Priola, Fields",,
HB22-1065,Emer Mental Health Treatment & Evaluation Std,"Benavidez, Amabile",,,,,
HB22-1066,Public Ed Curriculum & Profl Dev Info,Geitner,,,,,
HB22-1067,Clarifiying Changes To Ensure Prompt Bond Hearings,"Woodrow, Gonzales-Gutierrez",,"Bacon, Benavidez, Bernett, Boesenecker, Duran, Exum, Herod, Hooton, Jodeh, Kennedy, Kipp, Lindsay, Michaelson Jenet, Sirota, Tipper, Titone, Valdez A., Weissman, Amabile, Caraveo, Cutter, Lontine, Ricks, Snyder, Van Winkle","Lee, Rodriguez",,"Buckner, Donovan, Gonzales, Hansen, Moreno, Story"
HB22-1068,Medicaid Reimbursement For Therapy Using Equines,"McCormick, Lynch",,"Amabile, Bernett, Bird, Boesenecker, Caraveo, Cutter, Esgar, Exum, Froelich, Geitner, Gonzales-Gutierrez, Gray, Hooton, Jodeh, Kipp, Lindsay, Lontine, McCluskie, McKean, Michaelson Jenet, Mullica, Pelton, Pico, Ricks, Roberts, Sirota, Snyder, Tipper, Titone, Valdez A., Valdez D., Will",Jaquez Lewis,,"Coram, Danielson, Fields, Ginal, Hisey, Kolker, Lee, Moreno, Pettersen, Priola, Scott, Simpson, Sonnenberg, Story, Winter, Woodward"
HB22-1069,Parent Authority To Request Public School Reforms,Bockenfeld,,,Priola,Woodward,
HB22-1070,Special Districts Early Childhood Development,McCluskie,,"Bernett, Bird, Boesenecker, Cutter, Duran, Esgar, Exum, Froelich, Gonzales-Gutierrez, Gray, Jodeh, Kipp, Lindsay, Michaelson Jenet, Sullivan",Rankin,,"Bridges, Buckner, Gonzales, Lee, Pettersen"
HB22-1071,Damages In Class Actions Consumer Protection Act,Woodrow,,"Bacon, Boesenecker, Daugherty, Jodeh, Kipp, Lontine, Sirota, Tipper, Titone",Rodriguez,,"Gonzales, Moreno"
HB22-1072,Habitat Partnership Program,"Will, Roberts",,"Amabile, Bird, Carver, Cutter, Duran, Esgar, Exum, Gray, Herod, Lindsay, Lontine, McCluskie, McCormick, McLachlan, Michaelson Jenet, Mullica, Snyder, Titone, Valdez A.","Donovan, Simpson",,"Buckner, Cooke, Ginal, Gonzales, Hisey, Holbert, Jaquez Lewis, Kolker, Lee, Liston, Lundeen, Moreno, Pettersen, Priola, Rankin, Smallwood, Sonnenberg, Story, Winter, Woodward, Fenberg"
HB22-1073,Funeral Establishment & Crematory Inspection,"Roberts, Soper",McCluskie,"Bird, Bockenfeld, Boesenecker, Caraveo, Cutter, Froelich, Gonzales-Gutierrez, Kipp, Lindsay, Ricks, Snyder, Sullivan, Titone, Valdez A., Van Winkle","Coram, Donovan",,"Fields, Gardner, Gonzales, Hansen, Moreno"
HB22-1074,Traffic Violations On Interstate 70 Shoulder Lanes,Amabile,,"Bernett, Bird, Exum, Gray, Hooton, Jodeh, Lindsay, McCluskie, McCormick, Roberts, Tipper, Woodrow",Hisey,,"Bridges, Lee, Moreno, Rankin, Winter, Zenzinger"
HB22-1075,Induced Termination Of Pregnancy State Registrar,Luck,"Pico, Ransom",,,Kirkmeyer,
HB22-1076,Telehealth For Hearing Aid Providers,"Lontine, Will",,"Bacon, Bernett, Bird, Bockenfeld, Boesenecker, Catlin, Cutter, Duran, Esgar, Froelich, Geitner, Gray, Herod, Jodeh, Kipp, Lindsay, McCluskie, Michaelson Jenet, Ortiz, Pelton, Ricks, Snyder, Soper, Tipper, Titone, Valdez A., Valdez D., Woodrow, Young",Buckner,,"Bridges, Danielson, Fields, Ginal, Gonzales, Hansen, Hinrichsen, Kolker, Lee, Moreno, Priola, Rankin, Rodriguez, Smallwood, Story, Winter, Fenberg"
HB22-1077,Colorado Nonprofit Security Grant Program,"Michaelson Jenet, Jodeh",,"Amabile, Benavidez, Bird, Boesenecker, Caraveo, Cutter, Esgar, Gonzales-Gutierrez, Herod, Lindsay, Lontine, McCluskie, Roberts, Sirota, Titone, Valdez A., Valdez D., Weissman, Garnett, Exum, Mullica","Priola, Hansen",,"Bridges, Hinrichsen, Moreno, Pettersen, Fenberg"
HB22-1078,Voting Systems Standards Adoption,Baisley,,,,,
HB22-1079,Abolishing Abortion In Colorado,Williams,"Hanks, Ransom, Sandridge",,,,
HB22-1080,Automated Vehicle ID Systems Ballot Question,Williams,,,,,
HB22-1081,Reestablish Sunrise Sunset Review Committee,Holtorf,,,Simpson,,
